date,medicine,region,units_sold,marketing_spend,revenue
2022-09-27,DrugC,North,141,34584,19599
2022-09-28,DrugC,North,747,5898,63495
2022-09-29,DrugC,North,513,28719,54891
2022-09-30,DrugC,East,518,32227,75628
2022-10-01,DrugB,West,680,32252,40800
2022-10-02,DrugC,West,789,29471,44973
2022-10-03,DrugC,West,721,48104,56238
2022-10-04,DrugA,South,108,36338,15444
2022-10-05,DrugC,West,853,19506,49474
2022-10-06,DrugA,West,670,1316,71020
2022-10-07,DrugB,East,682,29824,96844
2022-10-08,DrugA,West,666,38362,86580
2022-10-09,DrugC,East,867,5448,43350
2022-10-10,DrugA,North,714,33765,79968
2022-10-11,DrugB,West,805,32757,93380
2022-10-12,DrugC,West,557,21064,71853
2022-10-13,DrugC,West,629,33593,29563
2022-10-14,DrugC,West,932,36205,129548
2022-10-15,DrugA,South,229,3401,13282
2022-10-16,DrugC,West,940,9335,139120
2022-10-17,DrugC,East,458,48823,27022
2022-10-18,DrugC,East,531,30846,18585
2022-10-19,DrugB,East,84,18959,5544
2022-10-20,DrugC,North,787,36749,27545
2022-10-21,DrugC,North,630,1950,42210
2022-10-22,DrugC,South,869,39928,102542
2022-10-23,DrugB,East,148,10949,13468
2022-10-24,DrugC,West,942,36985,31086
2022-10-25,DrugA,South,368,14269,33120
2022-10-26,DrugA,South,798,2986,45486
2022-10-27,DrugB,South,346,16801,22836
2022-10-28,DrugB,South,147,18819,9996
2022-10-29,DrugA,East,990,11435,68310
2022-10-30,DrugB,South,430,49495,38270
2022-10-31,DrugC,East,622,4353,25502
2022-11-01,DrugC,South,161,47707,16422
2022-11-02,DrugA,East,941,2392,127035
2022-11-03,DrugA,South,189,49098,18522
2022-11-04,DrugC,South,489,33781,40587
2022-11-05,DrugA,West,574,31108,23534
2022-11-06,DrugC,East,594,15801,52272
2022-11-07,DrugB,East,995,25934,148255
2022-11-08,DrugB,North,488,24480,50752
2022-11-09,DrugC,East,741,3022,41496
2022-11-10,DrugB,South,658,11290,86198
2022-11-11,DrugA,South,487,16596,70615
2022-11-12,DrugB,West,190,33720,21280
2022-11-13,DrugA,East,641,47197,57690
2022-11-14,DrugC,North,300,14331,16200
2022-11-15,DrugB,South,996,38835,92628
2022-11-16,DrugC,South,286,40363,10582
2022-11-17,DrugC,West,951,28306,111267
2022-11-18,DrugA,East,325,42874,10075
2022-11-19,DrugC,East,253,41053,13156
2022-11-20,DrugB,East,732,2704,81252
2022-11-21,DrugC,South,585,38530,85995
2022-11-22,DrugA,East,637,39811,63063
2022-11-23,DrugA,East,978,32567,143766
2022-11-24,DrugB,West,83,21586,6806
2022-11-25,DrugB,East,244,39493,19764
2022-11-26,DrugC,South,207,18966,28566
2022-11-27,DrugA,North,658,35656,55272
2022-11-28,DrugB,East,474,26506,36498
2022-11-29,DrugC,East,102,13495,4182
2022-11-30,DrugA,West,915,34509,96990
2022-12-01,DrugC,West,890,7246,126380
2022-12-02,DrugA,North,543,20449,78192
2022-12-03,DrugA,North,412,13224,18540
2022-12-04,DrugA,South,864,11178,79488
2022-12-05,DrugA,East,196,35883,10584
2022-12-06,DrugC,North,797,35017,36662
2022-12-07,DrugC,West,498,45545,35856
2022-12-08,DrugB,West,283,42356,11603
2022-12-09,DrugA,North,746,10264,32078
2022-12-10,DrugA,West,373,33474,41403
2022-12-11,DrugC,East,887,22208,37254
2022-12-12,DrugC,North,352,27106,34848
2022-12-13,DrugB,North,312,34145,23712
2022-12-14,DrugC,East,540,24010,42660
2022-12-15,DrugA,West,84,39060,8232
2022-12-16,DrugC,East,148,6534,16872
2022-12-17,DrugB,North,900,41675,44100
2022-12-18,DrugC,East,185,45416,11655
2022-12-19,DrugB,West,797,15083,28692
2022-12-20,DrugB,North,436,2254,23544
2022-12-21,DrugC,East,750,39434,72750
2022-12-22,DrugA,West,918,32775,57834
2022-12-23,DrugC,South,738,19618,84870
2022-12-24,DrugA,West,280,36657,31640
2022-12-25,DrugB,West,256,34276,33792
2022-12-26,DrugC,West,923,25958,128297
2022-12-27,DrugC,North,684,9617,58140
2022-12-28,DrugC,East,224,47701,15680
2022-12-29,DrugC,East,912,37782,102144
2022-12-30,DrugC,West,366,2621,25254
2022-12-31,DrugB,North,987,30395,65142
2023-01-01,DrugB,North,246,39482,27306
2023-01-02,DrugA,South,341,13695,24211
2023-01-03,DrugA,North,508,48322,36576
2023-01-04,DrugA,South,210,22121,30030
2023-01-05,DrugC,West,569,10679,60314
2023-01-06,DrugC,East,751,35138,82610
2023-01-07,DrugA,East,607,41048,40669
2023-01-08,DrugA,South,486,25966,68526
2023-01-09,DrugC,West,827,31256,57890
2023-01-10,DrugC,South,913,8873,116864
2023-01-11,DrugB,South,878,37961,116774
2023-01-12,DrugB,West,50,27402,2650
2023-01-13,DrugB,East,206,8288,15244
2023-01-14,DrugA,South,190,44846,21280
2023-01-15,DrugB,North,220,20721,29260
2023-01-16,DrugA,North,962,43947,129870
2023-01-17,DrugC,West,389,34031,29564
2023-01-18,DrugB,West,616,27697,44352
2023-01-19,DrugB,South,941,14242,44227
2023-01-20,DrugA,East,283,19441,24621
2023-01-21,DrugB,North,367,31774,15414
2023-01-22,DrugB,South,749,35602,83139
2023-01-23,DrugC,North,349,34726,36994
2023-01-24,DrugA,South,917,28480,49518
2023-01-25,DrugA,North,71,8949,8875
2023-01-26,DrugB,North,548,26264,43840
2023-01-27,DrugB,North,701,38548,98841
2023-01-28,DrugC,East,555,2175,46065
2023-01-29,DrugA,South,474,40960,16590
2023-01-30,DrugA,South,298,11003,30396
2023-01-31,DrugC,West,267,12925,8811
2023-02-01,DrugB,South,643,22300,19290
2023-02-02,DrugA,West,811,14343,68935
2023-02-03,DrugA,East,126,1346,4032
2023-02-04,DrugA,East,446,7703,62886
2023-02-05,DrugA,East,346,39323,44980
2023-02-06,DrugB,North,242,42485,23474
2023-02-07,DrugA,East,73,48420,8833
2023-02-08,DrugC,East,209,3625,6688
2023-02-09,DrugB,North,993,12144,147957
2023-02-10,DrugC,West,827,17236,81046
2023-02-11,DrugA,East,925,44556,82325
2023-02-12,DrugA,East,415,40749,39840
2023-02-13,DrugA,South,704,19226,92928
2023-02-14,DrugA,South,900,29717,99000
2023-02-15,DrugA,East,455,41293,63245
2023-02-16,DrugB,North,622,20587,68420
2023-02-17,DrugC,East,346,42054,12456
2023-02-18,DrugC,West,520,10018,48880
2023-02-19,DrugA,North,801,4347,38448
2023-02-20,DrugB,East,72,34664,5976
2023-02-21,DrugA,South,573,7419,67614
2023-02-22,DrugB,East,903,24923,129129
2023-02-23,DrugC,South,784,49011,42336
2023-02-24,DrugB,South,977,6422,108447
2023-02-25,DrugB,South,175,5859,11200
2023-02-26,DrugC,North,64,38352,3520
2023-02-27,DrugA,East,191,22915,21965
2023-02-28,DrugA,East,400,42860,16400
2023-03-01,DrugC,East,63,34589,2898
2023-03-02,DrugA,East,292,23333,24236
2023-03-03,DrugC,East,655,22080,55020
2023-03-04,DrugC,East,465,44762,42780
2023-03-05,DrugB,North,841,15100,57188
2023-03-06,DrugB,West,276,43463,19596
2023-03-07,DrugC,West,375,5792,49500
2023-03-08,DrugC,South,712,19766,97544
2023-03-09,DrugC,North,946,3011,85140
2023-03-10,DrugC,East,587,9534,33459
2023-03-11,DrugC,East,713,14653,49910
2023-03-12,DrugA,West,269,42533,23403
2023-03-13,DrugB,North,912,41787,41040
2023-03-14,DrugA,South,919,48148,120389
2023-03-15,DrugC,North,194,19907,28518
2023-03-16,DrugB,North,795,21555,38160
2023-03-17,DrugC,North,429,34032,16302
2023-03-18,DrugB,South,919,28414,54221
2023-03-19,DrugB,North,593,19006,58707
2023-03-20,DrugA,North,234,15609,8892
2023-03-21,DrugC,South,199,35388,26069
2023-03-22,DrugC,East,103,41252,5974
2023-03-23,DrugA,South,527,21222,16337
2023-03-24,DrugB,East,503,9944,68911
2023-03-25,DrugB,North,927,41996,125145
2023-03-26,DrugB,East,925,12753,116550
2023-03-27,DrugA,West,320,42257,18880
2023-03-28,DrugA,North,999,12623,94905
2023-03-29,DrugC,East,275,4023,24750
2023-03-30,DrugC,West,711,4007,66123
2023-03-31,DrugC,South,132,43010,12408
2023-04-01,DrugB,East,811,18708,72990
2023-04-02,DrugC,North,689,31996,28249
2023-04-03,DrugB,West,706,37029,62128
2023-04-04,DrugB,East,307,37665,16885
2023-04-05,DrugC,North,805,30090,69230
2023-04-06,DrugB,East,338,2017,11492
2023-04-07,DrugA,East,226,28667,21018
2023-04-08,DrugA,East,217,2568,17577
2023-04-09,DrugA,West,887,28419,61203
2023-04-10,DrugC,West,848,13993,89040
2023-04-11,DrugB,West,981,25569,73575
2023-04-12,DrugB,South,395,43318,54510
2023-04-13,DrugC,North,899,36153,88102
2023-04-14,DrugB,East,334,10015,21042
2023-04-15,DrugB,South,470,27266,66270
2023-04-16,DrugC,South,388,4689,36860
2023-04-17,DrugC,West,907,42393,86165
2023-04-18,DrugB,North,964,19084,69408
2023-04-19,DrugB,South,133,25271,11172
2023-04-20,DrugB,South,418,47333,12958
2023-04-21,DrugB,South,739,41818,104199
2023-04-22,DrugA,North,174,15237,10092
2023-04-23,DrugA,East,729,44456,34263
2023-04-24,DrugA,West,765,12862,23715
2023-04-25,DrugA,North,158,30840,8058
2023-04-26,DrugB,South,888,2457,75480
2023-04-27,DrugC,South,109,37482,13952
2023-04-28,DrugC,East,380,42207,35340
2023-04-29,DrugC,South,823,16581,106167
2023-04-30,DrugC,South,693,43816,47124
2023-05-01,DrugC,North,75,5044,8250
2023-05-02,DrugC,East,124,27217,12648
2023-05-03,DrugC,North,592,28615,66896
2023-05-04,DrugB,East,904,34389,76840
2023-05-05,DrugC,West,483,33223,57477
2023-05-06,DrugB,South,402,34964,55878
2023-05-07,DrugC,North,876,20779,27156
2023-05-08,DrugA,East,131,18364,12183
2023-05-09,DrugA,North,896,17848,60928
2023-05-10,DrugB,South,858,11330,59202
2023-05-11,DrugA,South,53,6866,4240
2023-05-12,DrugC,North,995,7892,144275
2023-05-13,DrugB,West,580,27881,65540
2023-05-14,DrugB,South,264,34266,25080
2023-05-15,DrugC,West,152,25317,20976
2023-05-16,DrugB,South,554,5423,63156
2023-05-17,DrugA,East,304,32770,34352
2023-05-18,DrugB,North,525,15482,77175
2023-05-19,DrugC,East,967,24146,122809
2023-05-20,DrugC,South,206,8409,22042
2023-05-21,DrugC,South,388,35258,31816
2023-05-22,DrugB,West,920,25714,95680
2023-05-23,DrugB,West,539,1529,51744
2023-05-24,DrugB,North,613,33499,49040
2023-05-25,DrugB,South,317,38396,32968
2023-05-26,DrugC,East,132,12494,4224
2023-05-27,DrugA,North,410,30890,43460
2023-05-28,DrugC,East,902,6489,92906
2023-05-29,DrugB,West,427,2236,20923
2023-05-30,DrugA,West,490,37373,69090
2023-05-31,DrugC,West,352,36252,41184
2023-06-01,DrugB,North,635,22379,78105
2023-06-02,DrugA,East,782,8028,51612
2023-06-03,DrugC,North,128,20859,7808
2023-06-04,DrugB,South,349,39385,41880
2023-06-05,DrugC,North,856,13836,83032
2023-06-06,DrugA,South,682,14878,94798
2023-06-07,DrugB,East,302,49072,37750
2023-06-08,DrugB,West,868,5835,68572
2023-06-09,DrugA,West,505,2598,23230
2023-06-10,DrugC,North,444,33314,20424
2023-06-11,DrugC,East,964,40833,95436
2023-06-12,DrugA,South,119,40620,7378
2023-06-13,DrugA,South,114,16650,6498
2023-06-14,DrugA,South,708,36596,57348
2023-06-15,DrugC,East,254,7515,8128
2023-06-16,DrugB,South,95,5438,7980
2023-06-17,DrugC,West,476,38430,41412
2023-06-18,DrugC,West,495,30229,59895
2023-06-19,DrugC,West,570,3514,62130
2023-06-20,DrugB,South,814,11865,112332
2023-06-21,DrugC,South,804,20478,74772
2023-06-22,DrugA,North,100,47643,10100
2023-06-23,DrugB,South,689,10814,83369
2023-06-24,DrugC,North,193,45288,18721
2023-06-25,DrugC,East,206,22888,7416
2023-06-26,DrugA,East,722,37384,42598
2023-06-27,DrugB,South,501,29630,52605
2023-06-28,DrugB,East,765,22386,74205
2023-06-29,DrugB,East,565,20341,53675
2023-06-30,DrugB,South,136,2926,9248
2023-07-01,DrugB,North,278,10106,35028
2023-07-02,DrugA,North,231,12570,24717
2023-07-03,DrugA,North,974,16472,79868
2023-07-04,DrugA,North,653,20983,96644
2023-07-05,DrugC,South,846,46760,35532
2023-07-06,DrugB,South,970,16123,138710
2023-07-07,DrugA,South,646,39134,65892
2023-07-08,DrugA,North,698,36524,97022
2023-07-09,DrugA,East,960,27995,94080
2023-07-10,DrugA,North,530,4476,29680
2023-07-11,DrugA,East,240,28445,9120
2023-07-12,DrugA,East,911,39283,133917
2023-07-13,DrugB,South,723,21985,40488
2023-07-14,DrugC,East,195,34862,18330
2023-07-15,DrugC,West,968,23497,140360
2023-07-16,DrugB,East,903,34222,59598
2023-07-17,DrugB,West,945,3012,102060
2023-07-18,DrugA,East,929,37074,44592
2023-07-19,DrugB,North,788,38683,102440
2023-07-20,DrugC,South,621,3562,28566
2023-07-21,DrugC,West,660,24465,27060
2023-07-22,DrugB,South,587,29192,42264
2023-07-23,DrugC,South,308,6716,43120
2023-07-24,DrugC,North,527,48090,46903
2023-07-25,DrugC,West,273,9807,11739
2023-07-26,DrugC,South,705,47787,26085
2023-07-27,DrugC,East,960,3711,87360
2023-07-28,DrugB,East,414,39904,38088
2023-07-29,DrugA,West,59,40567,8083
2023-07-30,DrugB,East,717,38324,76002
2023-07-31,DrugC,South,984,1302,144648
2023-08-01,DrugA,East,413,6075,28497
2023-08-02,DrugB,East,462,1902,48510
2023-08-03,DrugC,East,344,21067,16168
2023-08-04,DrugB,South,198,17734,11484
2023-08-05,DrugA,South,594,47864,36828
2023-08-06,DrugC,East,670,44060,83080
2023-08-07,DrugB,East,783,42397,82998
2023-08-08,DrugB,East,654,4511,72594
2023-08-09,DrugA,West,677,48821,59576
2023-08-10,DrugA,North,594,34686,84942
2023-08-11,DrugA,South,980,19148,38220
2023-08-12,DrugB,South,112,17904,13552
2023-08-13,DrugB,East,846,47001,54144
2023-08-14,DrugA,West,644,31317,70196
2023-08-15,DrugB,South,217,44245,29295
2023-08-16,DrugA,North,809,15895,32360
2023-08-17,DrugB,West,748,3216,29172
2023-08-18,DrugB,West,948,45644,126084
2023-08-19,DrugB,West,145,4647,16530
2023-08-20,DrugA,East,450,14918,23850
2023-08-21,DrugC,West,338,30751,29068
2023-08-22,DrugC,East,766,4175,41364
2023-08-23,DrugB,North,295,27585,9145
2023-08-24,DrugB,North,495,13103,52470
2023-08-25,DrugB,North,996,49239,58764
2023-08-26,DrugB,West,288,27155,40608
2023-08-27,DrugA,West,785,39771,84780
2023-08-28,DrugA,South,427,6664,61061
2023-08-29,DrugB,South,584,4089,50224
2023-08-30,DrugA,East,88,41192,4664
2023-08-31,DrugB,West,84,14843,3864
2023-09-01,DrugA,West,831,17568,123819
2023-09-02,DrugB,North,768,4177,42240
2023-09-03,DrugA,East,562,12464,54514
2023-09-04,DrugC,South,863,42139,95793
2023-09-05,DrugA,West,669,41561,53520
2023-09-06,DrugB,North,554,39512,31578
2023-09-07,DrugA,North,527,15396,43741
2023-09-08,DrugB,North,732,8023,48312
2023-09-09,DrugC,North,74,3290,6512
2023-09-10,DrugA,North,525,49523,74025
2023-09-11,DrugB,East,632,18797,36656
2023-09-12,DrugC,West,671,38567,33550
2023-09-13,DrugC,East,324,29980,39204
2023-09-14,DrugB,West,566,19923,59996
2023-09-15,DrugC,North,374,9669,47872
2023-09-16,DrugB,South,513,19277,40527
2023-09-17,DrugB,South,836,41214,122892
2023-09-18,DrugA,South,950,49705,52250
2023-09-19,DrugC,West,724,20812,58644
2023-09-20,DrugC,East,448,15569,26880
2023-09-21,DrugA,North,54,7175,2268
2023-09-22,DrugA,East,736,13795,37536
2023-09-23,DrugA,East,834,42606,100080
2023-09-24,DrugA,South,496,23260,57536
2023-09-25,DrugB,West,729,2947,65610
2023-09-26,DrugB,North,392,45257,36456
2023-09-27,DrugA,South,420,28788,38220
